  Title : 8-trpl-1,01uw-20s
  Version : 1 975 M
  Revision : 12 bits ADC
  Date : 2019-05-24
  Time : 14:14:59
  Author : Unknown
  Company : Unknown
  Contents :
  
*BLOCK 1  ( Time[ns]  No_of_photons )
2.475620 ,   89
2.479691 ,  100
2.483763 ,  106
2.487835 ,   89
2.491907 ,  105
2.495978 ,   92
2.500050 ,   81
2.504122 ,   89
2.508193 ,  102
2.512265 ,   95
2.516337 ,   96
2.520409 ,   92
2.524480 ,  103
2.528552 ,   92
2.532624 ,   78
2.536696 ,  112
2.540767 ,   93
2.544839 ,   86
2.548911 ,   85
2.552983 ,   96
2.557054 ,   85
2.561126 ,  104
2.565198 ,   89
2.569270 ,   81
2.573341 ,   99
2.577413 ,   87
2.581485 ,   86
2.585557 ,   88
2.589628 ,   99
2.593700 ,  100
2.597772 ,  107
2.601844 ,   93
2.605915 ,   86
2.609987 ,   98
2.614059 ,  108
2.618131 ,   85
2.622202 ,   96
2.626274 ,   89
2.630346 ,   95
2.634417 ,   93
2.638489 ,  114
2.642561 ,   72
2.646633 ,  100
2.650704 ,  112
2.654776 ,   90
2.658848 ,   94
2.662920 ,   94
2.666991 ,   82
2.671063 ,  103
2.675135 ,   93
2.679207 ,  100
2.683278 ,  111
2.687350 ,   93
2.691422 ,   82
2.695494 ,   81
2.699565 ,  108
2.703637 ,   92
2.707709 ,  110
2.711781 ,   89
2.715852 ,   97
2.719924 ,   90
2.723996 ,   84
2.728068 ,  105
2.732139 ,   96
2.736211 ,   92
2.740283 ,   89
2.744355 ,   94
2.748426 ,   90
2.752498 ,   99
2.756570 ,   98
2.760642 ,   88
2.764713 ,   86
2.768785 ,   96
2.772857 ,   81
2.776928 ,  101
2.781000 ,   96
2.785072 ,   92
2.789144 ,   87
2.793215 ,   89
2.797287 ,   82
2.801359 ,   86
2.805431 ,   81
2.809502 ,   82
2.813574 ,   96
2.817646 ,  101
2.821718 ,   94
2.825789 ,   85
2.829861 ,   90
2.833933 ,   91
2.838005 ,   90
2.842076 ,   82
2.846148 ,   80
2.850220 ,   93
2.854292 ,   84
2.858363 ,   97
2.862435 ,  108
2.866507 ,   79
2.870579 ,   93
2.874650 ,   79
2.878722 ,   94
2.882794 ,   80
2.886866 ,  102
2.890937 ,   87
2.895009 ,   74
2.899081 ,   85
2.903153 ,  103
2.907224 ,   92
2.911296 ,   82
2.915368 ,   93
2.919439 ,   82
2.923511 ,   80
2.927583 ,   84
2.931655 ,   93
2.935726 ,   99
2.939798 ,   74
2.943870 ,   89
2.947942 ,   85
2.952013 ,  102
2.956085 ,   90
2.960157 ,  108
2.964229 ,   98
2.968300 ,   82
2.972372 ,   86
2.976444 ,   90
2.980516 ,   89
2.984587 ,  100
2.988659 ,   91
2.992731 ,  100
2.996803 ,   85
3.000874 ,   93
3.004946 ,   98
3.009018 ,   89
3.013090 ,   97
3.017161 ,   85
3.021233 ,   75
3.025305 ,   86
3.029377 ,   92
3.033448 ,   82
3.037520 ,   83
3.041592 ,   97
3.045664 ,   80
3.049735 ,   92
3.053807 ,  100
3.057879 ,   97
3.061950 ,   98
3.066022 ,  116
3.070094 ,  136
3.074166 ,  140
3.078237 ,  137
3.082309 ,  176
3.086381 ,  159
3.090453 ,  182
3.094524 ,  183
3.098596 ,  232
3.102668 ,  245
3.106740 ,  247
3.110811 ,  244
3.114883 ,  297
3.118955 ,  255
3.123027 ,  273
3.127098 ,  272
3.131170 ,  312
3.135242 ,  305
3.139314 ,  272
3.143385 ,  267
3.147457 ,  294
3.151529 ,  299
3.155601 ,  260
3.159672 ,  277
3.163744 ,  311
3.167816 ,  285
3.171888 ,  289
3.175959 ,  283
3.180031 ,  269
3.184103 ,  267
3.188174 ,  263
3.192246 ,  245
3.196318 ,  249
3.200390 ,  257
3.204461 ,  228
3.208533 ,  274
3.212605 ,  269
3.216677 ,  257
3.220748 ,  245
3.224820 ,  263
3.228892 ,  266
3.232964 ,  284
3.237035 ,  263
3.241107 ,  274
3.245179 ,  254
3.249251 ,  231
3.253322 ,  238
3.257394 ,  230
3.261466 ,  250
3.265538 ,  250
3.269609 ,  219
3.273681 ,  256
3.277753 ,  252
3.281825 ,  222
3.285896 ,  237
3.289968 ,  261
3.294040 ,  246
3.298112 ,  254
3.302183 ,  236
3.306255 ,  262
3.310327 ,  227
3.314399 ,  244
3.318470 ,  250
3.322542 ,  288
3.326614 ,  248
3.330685 ,  248
3.334757 ,  251
3.338829 ,  269
3.342901 ,  227
3.346972 ,  256
3.351044 ,  219
3.355116 ,  258
3.359188 ,  252
3.363259 ,  228
3.367331 ,  240
3.371403 ,  223
3.375475 ,  239
3.379546 ,  244
3.383618 ,  229
3.387690 ,  228
3.391762 ,  268
3.395833 ,  288
3.399905 ,  225
3.403977 ,  208
3.408049 ,  255
3.412120 ,  265
3.416192 ,  222
3.420264 ,  248
3.424336 ,  258
3.428407 ,  247
3.432479 ,  227
3.436551 ,  222
3.440623 ,  242
3.444694 ,  256
3.448766 ,  240
3.452838 ,  248
3.456910 ,  239
3.460981 ,  244
3.465053 ,  258
3.469125 ,  255
3.473196 ,  237
3.477268 ,  229
3.481340 ,  227
3.485412 ,  246
3.489483 ,  252
3.493555 ,  237
3.497627 ,  266
3.501699 ,  223
3.505770 ,  251
3.509842 ,  226
3.513914 ,  247
3.517986 ,  247
3.522057 ,  237
3.526129 ,  260
3.530201 ,  241
3.534273 ,  234
3.538344 ,  227
3.542416 ,  254
3.546488 ,  241
3.550560 ,  241
3.554631 ,  207
3.558703 ,  241
3.562775 ,  236
3.566847 ,  250
3.570918 ,  248
3.574990 ,  218
